,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
2254,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2255,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2256,Urinary tract infection,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2257,Alcoholic hepatitis,5,3,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
2258,Fungal infection,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2259,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2260,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
2261,Drug Reaction,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2262,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
2263,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
2264,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2265,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2266,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2267,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
2268,Paralysis (brain hemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2269,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
2270,(vertigo) Paroymsal  Positional Vertigo,5,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2271,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
2272,Arthritis,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2274,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
2275,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
2276,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
2277,Paralysis (brain hemorrhage),5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2279,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2280,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
2281,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2282,hepatitis A,3,5,3,4,4,4,6,5,4,2,0,0,0,0,0,0,0
2283,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
2284,hepatitis A,3,5,3,4,5,4,4,5,4,2,0,0,0,0,0,0,0
2285,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
2286,Bronchial Asthma,4,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2287,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2288,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2289,Allergy,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2291,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2292,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2293,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2294,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2295,Jaundice,1,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
2296,Hyperthyroidism,4,3,3,5,3,6,5,2,2,6,0,0,0,0,0,0,0
2297,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2298,Hyperthyroidism,4,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0,0
2299,Drug Reaction,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2300,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2301,Dengue,3,3,3,4,7,3,5,4,4,3,6,2,3,0,0,0,0
2302,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2303,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2304,Pneumonia,3,4,4,7,4,3,5,7,5,4,0,0,0,0,0,0,0
2305,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
2306,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2307,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2308,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
2309,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
2310,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2311,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2312,Heart attack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2313,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2314,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2315,Tuberculosis,3,5,4,3,4,7,3,4,5,4,6,6,5,7,5,0,0
2316,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2317,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
2318,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2319,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
2320,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2321,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
2322,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
2323,hepatitis A,3,5,3,4,5,4,4,5,4,2,0,0,0,0,0,0,0
2324,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
2325,Urinary tract infection,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2326,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
2327,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
2328,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
2329,Hepatitis D,3,5,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0
2330,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2331,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
2332,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2333,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2334,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
2335,Cervical spondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2336,Dimorphic hemmorhoids(piles),4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2337,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
2338,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
2339,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
2340,Paralysis (brain hemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2342,Hepatitis C,4,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2343,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2344,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
2345,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
2346,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
2347,Typhoid,3,5,4,7,3,5,4,4,6,5,0,0,0,0,0,0,0
2348,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2349,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2351,Migraine,3,5,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0
2352,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
2353,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2354,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2355,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2356,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2357,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2358,Pneumonia,3,4,4,4,3,6,5,7,5,4,0,0,0,0,0,0,0
2359,Dimorphic hemmorhoids(piles),5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
2361,Psoriasis,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2362,Impetigo,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2364,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2365,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
2366,Paralysis (brain hemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2367,Hypothyroidism,4,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
2368,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2369,Hypertension,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
2371,Hepatitis E,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
2372,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
2373,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2374,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2375,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2376,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
2377,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2378,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2379,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
2380,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2381,Alcoholic hepatitis,5,3,4,7,4,6,0,0,0,0,0,0,0,0,0,0,0
2382,Gastroenteritis,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
2384,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
2385,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
2386,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2387,Hepatitis C,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2388,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2389,Paralysis (brain hemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,Hepatitis E,3,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
2391,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
2392,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2393,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
2394,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
2395,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
2396,Hepatitis E,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
2397,Tuberculosis,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
2398,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,Hepatitis E,3,5,7,3,4,5,4,4,4,6,7,6,0,0,0,0,0
2400,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
2401,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2402,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
2403,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2404,(vertigo) Paroymsal  Positional Vertigo,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2405,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2407,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2408,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
2409,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,Pneumonia,3,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0,0
2411,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2413,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2414,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2415,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2416,Diabetes,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
2417,Drug Reaction,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,Typhoid,3,5,4,7,5,4,4,6,5,4,0,0,0,0,0,0,0
2419,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
2420,Pneumonia,3,4,4,7,4,3,6,7,5,4,0,0,0,0,0,0,0
2421,Acne,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2422,Migraine,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
2423,Migraine,3,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
2424,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
2425,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
2426,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
2427,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
2428,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
2429,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2430,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
2431,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
2433,Alcoholic hepatitis,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
2434,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
2435,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2436,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2437,(vertigo) Paroymsal  Positional Vertigo,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2438,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2439,Migraine,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0
2440,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
2441,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2442,Chicken pox,1,3,4,2,7,4,5,6,6,3,0,0,0,0,0,0,0
2443,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2444,Urinary tract infection,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2446,Jaundice,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
2447,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2448,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2449,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,(vertigo) Paroymsal  Positional Vertigo,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2452,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
2453,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2454,Paralysis (brain hemorrhage),5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2455,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
2456,Psoriasis,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2457,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2458,(vertigo) Paroymsal  Positional Vertigo,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2459,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2460,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
2461,Typhoid,3,5,4,7,3,5,4,4,5,4,0,0,0,0,0,0,0
2462,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2464,GERD,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2465,Chronic cholestasis,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
2466,(vertigo) Paroymsal  Positional Vertigo,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2467,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2468,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
2469,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
2470,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
2472,Impetigo,3,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2473,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2474,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2475,GERD,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
2476,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
2477,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2478,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
2479,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
2480,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
2481,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
2482,hepatitis A,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
2483,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
2484,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
2485,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
2487,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
2488,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2489,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
2491,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2492,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2493,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2494,Psoriasis,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2495,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
2496,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2497,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2498,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
2499,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2500,Varicose veins,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0
2501,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
2502,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2503,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
2504,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2505,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2506,Arthritis,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2507,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
2508,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2509,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2510,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
2511,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2512,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
2513,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
2514,Heart attack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515,Psoriasis,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2516,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2517,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2518,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2519,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
2520,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2521,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,0,0,0,0
2522,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2523,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2524,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2525,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2526,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2527,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2528,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2529,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2530,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
2531,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
2532,Alcoholic hepatitis,5,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
2533,Impetigo,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2534,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
2535,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
2536,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2537,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2538,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2539,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
2540,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
2541,Hypothyroidism,4,3,5,3,2,4,6,5,5,3,2,6,0,0,0,0,0
2542,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2543,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2544,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2545,Impetigo,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2546,Arthritis,2,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2547,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2548,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
2549,Allergy,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2550,Cervical spondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2552,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2553,Impetigo,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2554,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
2555,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
2556,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2557,Osteoarthristis,3,5,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2558,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
